brand,fuel type,aspiration,body style,engine location,length,width,height,weight,engine capacity,compression ratio,horsepower,max rpm,city mpg,highway mpg,num cylinders,drive wheels
toyota,gasoline,std,hatchback,front,403.1,161.5,138.4,914.0,1.5076,9.0,62.0,4800.0,13.179,16.155,4,fwd
toyota,gasoline,std,wagon,front,431.0,161.5,150.1,1034.2,1.5076,9.0,62.0,4800.0,13.179,15.73,4,fwd
toyota,gasoline,std,sedan,front,422.4,163.6,134.6,943.9,1.6059,9.0,70.0,4800.0,12.754000000000001,15.73,4,fwd
toyota,gasoline,std,hatchback,front,422.4,163.6,134.1,956.6,1.6059,9.0,70.0,4800.0,12.754000000000001,15.73,4,fwd
toyota,diesel,std,sedan,front,422.4,163.6,134.6,1031.9,1.8026,22.5,56.0,4500.0,14.455,15.305,4,fwd
toyota,diesel,std,hatchback,front,422.4,163.6,134.1,1031.9,1.8026,22.5,56.0,4500.0,16.155,19.980999999999998,4,fwd
toyota,gasoline,std,sedan,front,422.4,163.6,134.6,949.8,1.6059,9.0,70.0,4800.0,16.155,19.980999999999998,4,fwd
toyota,gasoline,std,hatchback,front,422.4,163.6,134.1,962.5,1.6059,9.0,70.0,4800.0,11.904000000000002,14.455,4,fwd
toyota,gasoline,std,sedan,front,422.4,163.6,134.1,970.7,1.6059,9.0,70.0,4800.0,11.904000000000002,14.455,4,fwd
toyota,gasoline,std,sedan,front,446.0,168.9,139.4,1055.1,1.9992,8.7,92.0,4200.0,12.329,14.455,4,fwd
toyota,diesel,turbo,sedan,front,446.0,168.9,139.4,1124.9,1.8026,22.5,73.0,4500.0,12.754000000000001,14.029000000000002,4,fwd
toyota,gasoline,std,hatchback,front,446.0,168.9,136.9,1095.0,1.9992,8.7,92.0,4200.0,11.479000000000001,13.604000000000001,4,fwd
toyota,gasoline,std,sedan,front,446.0,168.9,139.4,1095.0,1.9992,8.7,92.0,4200.0,11.479000000000001,13.604000000000001,4,fwd
toyota,gasoline,std,hatchback,front,446.0,168.9,136.9,1114.9,1.9992,8.7,92.0,4200.0,11.479000000000001,13.604000000000001,4,fwd
volkswagen,diesel,std,sedan,front,436.1,166.4,141.5,1025.6,1.5895,23.0,52.0,4800.0,15.73,19.555999999999997,4,fwd
volkswagen,gasoline,std,sedan,front,436.1,166.4,141.5,1002.0,1.7862,9.0,85.0,5250.0,11.479000000000001,14.455,4,fwd
volkswagen,diesel,std,sedan,front,436.1,166.4,141.5,1027.0,1.5895,23.0,52.0,4800.0,15.73,19.555999999999997,4,fwd
volkswagen,gasoline,std,sedan,front,436.1,166.4,141.5,1003.4,1.7862,9.0,85.0,5250.0,11.479000000000001,14.455,4,fwd
volkswagen,gasoline,std,sedan,front,436.1,166.4,141.5,1031.9,1.7862,9.0,85.0,5250.0,11.479000000000001,14.455,4,fwd
volkswagen,diesel,turbo,sedan,front,436.1,166.4,141.5,1051.9,1.5895,23.0,68.0,4500.0,15.73,17.855999999999998,4,fwd
volkswagen,gasoline,std,sedan,front,436.1,166.4,141.5,1043.3,1.7862,10.0,100.0,5500.0,11.052999999999999,13.604000000000001,4,fwd
volkswagen,gasoline,std,convertible,front,404.6,163.1,141.2,1022.4,1.7862,8.5,90.0,5500.0,10.203,12.329,4,fwd
volkswagen,gasoline,std,hatchback,front,420.9,162.6,130.6,1007.4,1.7862,8.5,90.0,5500.0,10.203,12.329,4,fwd
volkswagen,gasoline,std,sedan,front,457.7,169.9,140.0,1207.0,2.2286,8.5,110.0,5500.0,8.078,10.203,5,fwd
volkswagen,diesel,turbo,sedan,front,457.7,169.9,140.0,1169.8,1.5895,23.0,68.0,4500.0,14.029000000000002,16.155,4,fwd
volkswagen,gasoline,std,wagon,front,465.1,169.9,140.0,1162.6,1.7862,9.0,88.0,5500.0,10.628,13.179,4,fwd
alfa-romeo,gasoline,std,convertible,front,428.8,162.8,124.0,1155.8,2.1303,9.0,111.0,5000.0,8.927999999999999,11.479000000000001,4,rwd
alfa-romeo,gasoline,std,convertible,front,428.8,162.8,124.0,1155.8,2.1303,9.0,111.0,5000.0,8.927999999999999,11.479000000000001,4,rwd
alfa-romeo,gasoline,std,hatchback,front,434.8,166.4,133.1,1280.5,2.4908,9.0,154.0,5000.0,8.078,11.052999999999999,6,rwd
bmw,gasoline,std,sedan,front,449.1,164.6,137.9,1086.4,1.7698,8.8,101.0,5800.0,9.777999999999999,12.329,4,rwd
bmw,gasoline,std,sedan,front,449.1,164.6,137.9,1086.4,1.7698,8.8,101.0,5800.0,9.777999999999999,12.329,4,rwd
bmw,gasoline,std,sedan,front,449.1,164.6,137.9,1229.3,2.6875,9.0,121.0,4250.0,8.927999999999999,11.904000000000002,6,rwd
bmw,gasoline,std,sedan,front,449.1,164.6,137.9,1254.2,2.6875,9.0,121.0,4250.0,8.927999999999999,11.904000000000002,6,rwd
bmw,gasoline,std,sedan,front,480.1,169.9,141.5,1385.7,2.6875,9.0,121.0,4250.0,8.503,10.628,6,rwd
bmw,gasoline,std,sedan,front,480.1,169.9,141.5,1465.1,3.4249,8.0,182.0,5400.0,6.8020000000000005,9.353,6,rwd
bmw,gasoline,std,sedan,front,492.3,172.5,136.4,1533.2,3.4249,8.0,182.0,5400.0,6.8020000000000005,9.353,6,rwd
bmw,gasoline,std,sedan,front,500.4,180.1,143.0,1589.9,3.4249,8.0,182.0,5400.0,6.377000000000001,8.503,6,rwd
isuzu,gasoline,std,sedan,front,433.6,157.0,135.9,1060.1,1.819,8.5,78.0,4800.0,10.203,12.329,4,rwd
isuzu,gasoline,std,hatchback,front,438.4,165.6,130.6,1240.1,1.9501,9.2,90.0,5000.0,10.203,12.329,4,rwd
jaguar,gasoline,std,sedan,front,507.0,176.8,134.1,1844.3,4.2279,8.1,176.0,4750.0,6.377000000000001,8.078,6,rwd
jaguar,gasoline,std,sedan,front,507.0,176.8,134.1,1844.3,4.2279,8.1,176.0,4750.0,6.377000000000001,8.078,6,rwd
jaguar,gasoline,std,sedan,front,486.9,179.3,121.4,1791.7,5.3422,11.5,262.0,5000.0,5.527,7.227,12,rwd
mazda,gasoline,std,hatchback,front,429.3,166.9,126.0,1079.6,1.1471,9.4,101.0,6000.0,7.227,9.777999999999999,2,rwd
mazda,gasoline,std,hatchback,front,429.3,166.9,126.0,1079.6,1.1471,9.4,101.0,6000.0,7.227,9.777999999999999,2,rwd
mazda,gasoline,std,hatchback,front,429.3,166.9,126.0,1081.8,1.1471,9.4,101.0,6000.0,7.227,9.777999999999999,2,rwd
mazda,gasoline,std,hatchback,front,429.3,166.9,126.0,1134.0,1.311,9.4,135.0,6000.0,6.8020000000000005,9.777999999999999,2,rwd
mazda,gasoline,std,sedan,front,444.5,167.9,138.2,1211.1,2.2942,8.0,120.0,5000.0,8.078,11.479000000000001,4,rwd
mazda,diesel,std,sedan,front,444.5,167.9,138.2,1224.7,2.1959,22.0,72.0,4200.0,13.179,16.58,4,rwd
mercedes-benz,diesel,turbo,sedan,front,484.9,178.6,143.5,1594.4,2.9988,21.5,123.0,4350.0,9.353,10.628,5,rwd
mercedes-benz,diesel,turbo,wagon,front,484.9,178.6,149.1,1701.0,2.9988,21.5,123.0,4350.0,9.353,10.628,5,rwd
mercedes-benz,diesel,turbo,hardtop,front,476.2,178.6,139.4,1585.3,2.9988,21.5,123.0,4350.0,9.353,10.628,5,rwd
mercedes-benz,diesel,turbo,sedan,front,514.6,182.1,143.0,1710.1,2.9988,21.5,123.0,4350.0,9.353,10.628,5,rwd
mercedes-benz,gasoline,std,sedan,front,514.6,182.1,143.5,1696.5,3.8346,8.3,155.0,4750.0,6.8020000000000005,7.652,8,rwd
mercedes-benz,gasoline,std,convertible,front,458.0,179.1,129.0,1671.5,3.8346,8.3,155.0,4750.0,6.8020000000000005,7.652,8,rwd
mercedes-benz,gasoline,std,sedan,front,528.6,182.1,144.0,1769.0,5.0472,8.0,184.0,4500.0,5.952000000000001,6.8020000000000005,8,rwd
mercedes-benz,gasoline,std,hardtop,front,506.0,182.9,140.7,1685.1,4.9817,8.0,184.0,4500.0,5.952000000000001,6.8020000000000005,8,rwd
mercury,gasoline,turbo,hatchback,front,453.1,172.7,139.2,1320.0,2.2942,8.0,175.0,5000.0,8.078,10.203,4,rwd
nissan,gasoline,std,hatchback,front,433.6,172.5,126.2,1393.0,2.9661,9.0,160.0,5200.0,8.078,10.628,6,rwd
nissan,gasoline,turbo,hatchback,front,433.6,172.5,126.2,1423.9,2.9661,7.8,200.0,5200.0,7.227,9.777999999999999,6,rwd
nissan,gasoline,std,hatchback,front,453.4,172.5,126.2,1423.9,2.9661,9.0,160.0,5200.0,8.078,10.628,6,rwd
peugeot,gasoline,std,sedan,front,474.2,173.7,144.0,1369.9,1.9664,8.4,97.0,5000.0,8.078,10.203,4,rwd
peugeot,diesel,turbo,sedan,front,474.2,173.7,144.0,1450.2,2.4908,21.0,95.0,4150.0,11.904000000000002,14.029000000000002,4,rwd
peugeot,gasoline,std,wagon,front,505.2,173.7,149.1,1465.1,1.9664,8.4,97.0,5000.0,8.078,10.203,4,rwd
peugeot,diesel,turbo,wagon,front,505.2,173.7,149.1,1555.8,2.4908,21.0,95.0,4150.0,10.628,10.628,4,rwd
peugeot,gasoline,std,sedan,front,474.2,173.7,144.0,1394.8,1.9664,8.4,95.0,5000.0,8.078,10.203,4,rwd
peugeot,diesel,turbo,sedan,front,474.2,173.7,144.0,1475.1,2.4908,21.0,95.0,4150.0,11.904000000000002,14.029000000000002,4,rwd
peugeot,gasoline,std,wagon,front,505.2,173.7,144.0,1490.1,1.9664,8.4,95.0,5000.0,8.078,10.203,4,rwd
peugeot,diesel,turbo,wagon,front,505.2,173.7,149.1,1580.8,2.4908,21.0,95.0,4150.0,10.628,10.628,4,rwd
peugeot,gasoline,std,sedan,front,474.2,173.7,144.0,1394.8,1.9664,8.4,97.0,5000.0,8.078,10.203,4,rwd
peugeot,diesel,turbo,sedan,front,474.2,173.7,144.0,1475.1,2.4908,21.0,95.0,4150.0,11.904000000000002,14.029000000000002,4,rwd
peugeot,gasoline,turbo,sedan,front,474.2,173.5,142.2,1419.8,2.1959,7.0,142.0,5600.0,7.652,10.203,4,rwd
plymouth,gasoline,turbo,hatchback,front,439.9,168.4,127.5,1278.2,2.5564,7.0,145.0,5000.0,8.078,10.203,4,rwd
porsche,gasoline,std,hatchback,front,429.0,173.5,127.5,1260.1,2.4744,9.5,143.0,5500.0,8.078,11.479000000000001,4,rwd
porsche,gasoline,std,hardtop,rear,429.0,165.1,131.1,1250.1,3.1791,9.5,207.0,5900.0,7.227,10.628,6,rwd
porsche,gasoline,std,hardtop,rear,429.0,165.1,131.1,1250.1,3.1791,9.5,207.0,5900.0,7.227,10.628,6,rwd
porsche,gasoline,std,convertible,rear,429.0,165.1,131.1,1270.1,3.1791,9.5,207.0,5900.0,7.227,10.628,6,rwd
porsche,gasoline,std,hatchback,front,446.3,183.6,128.3,1526.8,3.3266,10.0,288.0,5750.0,7.227,11.904000000000002,8,rwd
toyota,gasoline,std,sedan,front,428.5,162.6,133.6,983.9,1.6059,9.0,70.0,4800.0,12.329,14.455,4,rwd
toyota,gasoline,std,hatchback,front,428.5,162.6,133.6,999.7,1.6059,9.0,70.0,4800.0,12.329,14.455,4,rwd
toyota,gasoline,std,sedan,front,428.5,162.6,133.6,1027.4,1.6059,9.4,112.0,6600.0,11.052999999999999,12.329,4,rwd
toyota,gasoline,std,hatchback,front,428.5,162.6,133.6,1043.3,1.6059,9.4,112.0,6600.0,11.052999999999999,12.329,4,rwd
toyota,gasoline,std,hardtop,front,447.5,166.6,132.1,1152.1,2.3925,9.3,116.0,4800.0,10.203,12.754000000000001,4,rwd
toyota,gasoline,std,hardtop,front,447.5,166.6,132.1,1150.3,2.3925,9.3,116.0,4800.0,10.203,12.754000000000001,4,rwd
toyota,gasoline,std,hatchback,front,447.5,166.6,132.1,1157.1,2.3925,9.3,116.0,4800.0,10.203,12.754000000000001,4,rwd
toyota,gasoline,std,hardtop,front,447.5,166.6,132.1,1215.2,2.3925,9.3,116.0,4800.0,10.203,12.754000000000001,4,rwd
toyota,gasoline,std,hatchback,front,447.5,166.6,132.1,1231.1,2.3925,9.3,116.0,4800.0,10.203,12.754000000000001,4,rwd
toyota,gasoline,std,convertible,front,447.5,166.6,134.6,1349.5,2.3925,9.3,116.0,4800.0,10.203,12.754000000000001,4,rwd
toyota,gasoline,std,hatchback,front,466.1,172.0,132.1,1349.9,2.8022,9.3,161.0,5200.0,8.503,10.203,6,rwd
toyota,gasoline,std,hatchback,front,466.1,172.0,132.1,1368.1,2.8022,9.3,161.0,5200.0,8.078,10.203,6,rwd
toyota,gasoline,std,sedan,front,477.0,168.9,137.4,1420.2,2.8022,9.2,156.0,5200.0,8.503,10.203,6,rwd
toyota,gasoline,std,wagon,front,477.0,168.9,137.4,1429.3,2.6383,9.2,156.0,5200.0,8.078,10.203,6,rwd
volvo,gasoline,std,sedan,front,479.6,170.7,142.7,1320.9,2.3106,9.5,114.0,5400.0,9.777999999999999,11.904000000000002,4,rwd
volvo,gasoline,std,wagon,front,479.6,170.7,146.1,1376.2,2.3106,9.5,114.0,5400.0,9.777999999999999,11.904000000000002,4,rwd
volvo,gasoline,std,sedan,front,479.6,170.7,142.7,1331.3,2.3106,9.5,114.0,5400.0,10.203,11.904000000000002,4,rwd
volvo,gasoline,std,wagon,front,479.6,170.7,146.1,1379.9,2.3106,9.5,114.0,5400.0,10.203,11.904000000000002,4,rwd
volvo,gasoline,turbo,sedan,front,479.6,170.7,142.7,1381.2,2.1303,7.5,162.0,5100.0,7.227,9.353,4,rwd
volvo,gasoline,turbo,wagon,front,479.6,170.7,146.1,1432.0,2.1303,7.5,162.0,5100.0,7.227,9.353,4,rwd
volvo,gasoline,std,sedan,front,479.6,175.0,141.0,1339.0,2.3106,9.5,114.0,5400.0,9.777999999999999,11.904000000000002,4,rwd
volvo,gasoline,turbo,sedan,front,479.6,174.8,141.0,1383.0,2.3106,8.7,160.0,5300.0,8.078,10.628,4,rwd
volvo,gasoline,std,sedan,front,479.6,175.0,141.0,1366.2,2.835,8.8,134.0,5500.0,7.652,9.777999999999999,6,rwd
volvo,diesel,turbo,sedan,front,479.6,175.0,141.0,1459.2,2.3761,23.0,106.0,4800.0,11.052999999999999,11.479000000000001,6,rwd
volvo,gasoline,turbo,sedan,front,479.6,175.0,141.0,1388.9,2.3106,9.5,114.0,5400.0,8.078,10.628,4,rwd
